primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
BATTERY,DOMESTIC BATTERY SIMPLE,True,True,123,1.0,4.0,32.0,2023,41.872709056,-87.624187857,9,2,7,3,0,0,Morning,False,True,Commercial_Areas,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0146823862037147,0.0012031613426173,0.0039557723949407,0.0075212135842339,0.0055024578976589,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,723,7.0,20.0,68.0,2021,41.777309867,-87.640802922,1,1,7,3,0,0,Early Morning,False,True,Residential_Areas,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0202178425652304,0.0052788742577464,0.0008405898921519,0.0021933182108246,0.005822472236453,violent_crime
THEFT,OVER $500,False,True,733,7.0,17.0,68.0,2018,41.762650752,-87.649200356,18,6,9,4,1,0,Evening,True,False,Residential_Areas,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0116300309919904,0.0093752049223655,0.0012645630440678,0.0005830291338993,0.0071987234907962,non-violent_crime
ASSAULT,SIMPLE,False,True,1633,16.0,30.0,15.0,2024,41.942454783,-87.766637963,15,5,6,3,1,0,Noon,False,True,Outdoor_And_Public_Spaces,4.1,11.6,12.6,19.3,34.0,24336,35.0,63020.0,15954.43,0.0238695959131855,0.0030806297394362,0.0023719249284511,0.013040222327567,0.0125019975297476,violent_crime
BATTERY,AGGRAVATED - HANDGUN,False,False,711,7.0,16.0,68.0,2023,41.783405084,-87.643564257,20,3,2,1,0,0,Night,True,False,Outdoor_And_Public_Spaces,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0177290087786792,0.0007380335132759,0.004209448344662,0.0002451740305696,0.0063284746901545,violent_crime
THEFT,$500 AND UNDER,False,False,423,4.0,7.0,46.0,2024,41.736873382,-87.555571565,18,1,6,3,0,0,Evening,False,True,Outdoor_And_Public_Spaces,4.7,29.8,19.7,26.6,41.1,16579,75.0,27300.0,8173.65,0.031635341577837,0.003764136146182,0.0038004645136576,0.0014676914371669,0.0087979010842743,non-violent_crime
THEFT,FROM BUILDING,False,False,123,1.0,42.0,32.0,2019,41.873944069,-87.62598437,21,3,5,2,0,0,Night,False,True,Unknown,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0156317879171667,0.002752790095824,0.0018331843382287,0.0057090218122852,0.0034355397492317,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,221,2.0,3.0,38.0,2023,41.815903526,-87.6167737,0,3,11,4,0,0,Early Morning,True,False,Residential_Areas,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0162120913670427,0.0013520368019708,0.0015753222531454,0.0048248070577459,0.0103473563535322,non-violent_crime
CRIMINAL TRESPASS,TO RESIDENCE,False,False,631,6.0,8.0,44.0,2020,41.746779648,-87.601419176,9,5,2,1,1,0,Morning,False,True,Residential_Areas,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0201223462179364,0.0056979509222088,0.0066326006089247,0.0026329325688386,0.0141798559860142,non-violent_crime
THEFT,$500 AND UNDER,False,False,1834,18.0,42.0,8.0,2022,41.892505345,-87.626304822,17,1,3,2,0,0,Evening,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.020146446238643,0.0059494257965007,0.0080962144333015,0.0131351602946734,0.0057754078675256,non-violent_crime
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,True,False,1121,11.0,26.0,23.0,2023,41.900420129,-87.706713216,1,6,6,3,1,0,Early Morning,False,True,Outdoor_And_Public_Spaces,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0226620353413241,0.0012161816843344,0.0070656909654374,0.0053522910035756,0.0057029688709636,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1133,11.0,28.0,27.0,2020,41.875413022,-87.714014801,7,0,11,4,0,0,Morning,True,False,Residential_Areas,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0087209918012815,0.0034021267883826,0.0018638733432194,0.0021330016683329,0.0116516345333712,violent_crime
BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",False,True,324,3.0,7.0,43.0,2020,41.765425172,-87.583660372,0,4,5,2,0,0,Early Morning,False,True,Residential_Areas,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0221103730146176,0.0032095944945859,0.0032112897204953,0.0065598186862027,0.0171219885823605,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,813,8.0,13.0,62.0,2021,41.78711508,-87.7340023,9,5,12,1,1,0,Morning,False,True,Residential_Areas,11.1,15.6,16.7,37.0,37.7,15754,69.0,18394.0,15721.37,0.0264197988743711,0.0018531916681532,0.001391062738487,0.0013206584029564,0.0132349446783355,violent_crime
ROBBERY,STRONG ARM - NO WEAPON,False,True,825,8.0,16.0,66.0,2020,41.783754547,-87.693521432,18,0,3,2,0,0,Evening,False,True,Outdoor_And_Public_Spaces,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0160660064206452,0.0105585038049391,0.0032276147901388,0.0006360379905746,0.0098395432369563,violent_crime
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,True,True,1523,15.0,37.0,25.0,2019,41.888186183,-87.75535096,7,0,5,2,0,0,Morning,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0151904286364717,0.0047314480285133,0.0058841863657324,0.0011474505433588,0.0100446207693342,non-violent_crime
OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,True,False,1123,11.0,28.0,27.0,2023,41.880958836,-87.707377099,11,5,5,2,1,0,Morning,True,False,Outdoor_And_Public_Spaces,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0076145672741785,0.0045794927617221,0.0014069761225488,0.0021378965781345,0.0138035816307105,non-violent_crime
THEFT,FROM BUILDING,False,False,1713,17.0,33.0,14.0,2021,41.972741767,-87.70981831,6,4,11,4,0,0,Early Morning,False,True,Residential_Areas,11.3,19.2,10.0,32.9,32.0,21323,53.0,48396.0,25206.25,0.0182881177597388,0.0023089741631829,0.0016098449222499,0.006005518125625,0.0047381093645454,non-violent_crime
ASSAULT,SIMPLE,False,True,313,3.0,20.0,42.0,2023,41.785848109,-87.607582382,12,2,10,4,0,0,Noon,True,False,Residential_Areas,2.9,30.7,23.4,16.5,36.1,18672,58.0,24425.0,11799.52,0.0195036884886521,0.0012709287223147,0.0012805528746148,0.0089629715616951,0.0055844244028547,violent_crime
BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,False,False,1831,18.0,42.0,8.0,2020,41.888726932,-87.63398913,23,4,8,3,0,0,Night,True,False,Outdoor_And_Public_Spaces,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0172726082245755,0.0091196280072406,0.0122427463366791,0.0113013554590569,0.0133830818679102,violent_crime
OTHER OFFENSE,OTHER VEHICLE OFFENSE,False,True,214,2.0,4.0,38.0,2021,41.819466131,-87.608549294,13,3,12,1,0,0,Noon,False,True,Outdoor_And_Public_Spaces,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0186183555878999,0.0020134519858192,0.003582491554701,0.0075783842350946,0.0151837102354738,non-violent_crime
NARCOTICS,MANU/DELIVER:CRACK,True,False,1824,18.0,2.0,8.0,2019,41.904370109,-87.631460067,12,4,1,1,0,0,Noon,True,False,Transportation_And_Vehicles,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.011945493709009,0.0047196989411404,0.0037085796689651,0.0174584203572152,0.0051663518328649,non-violent_crime
THEFT,$500 AND UNDER,False,False,1814,18.0,43.0,7.0,2019,41.918578314,-87.636183854,11,5,4,2,1,0,Morning,False,True,Transportation_And_Vehicles,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0169291933306616,0.0007786390909004,0.0049052062830128,0.0146143453355736,0.0146530269959533,non-violent_crime
THEFT,$500 AND UNDER,False,False,1623,16.0,45.0,11.0,2020,41.972493574,-87.756295691,18,3,6,3,0,0,Evening,False,True,Outdoor_And_Public_Spaces,2.7,8.6,12.4,13.4,35.5,27751,25.0,26216.0,11251.5,0.0099823518863782,0.0028215070788584,0.0012373718766434,0.0155868030115672,0.0074022854942947,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,True,True,2413,24.0,40.0,2.0,2018,41.991359144,-87.699428857,4,1,12,1,0,0,Early Morning,False,True,Residential_Areas,7.8,17.2,8.8,20.8,38.5,23040,46.0,77122.0,21847.59,0.0135211345910919,0.0016227991151413,0.0015861660002932,0.0027763461842259,0.008269506908181,violent_crime
CRIMINAL TRESPASS,TO LAND,False,False,234,2.0,4.0,41.0,2019,41.800233416,-87.589104487,22,3,12,1,0,0,Night,False,True,Unknown,1.5,18.4,8.4,4.3,26.2,39056,14.0,29456.0,18295.65,0.037677747130067,0.0015573671443235,0.0037466118582347,0.0250044009741679,0.0052610354774853,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,722,7.0,6.0,69.0,2018,41.77037701,-87.626705427,15,4,12,1,0,0,Noon,False,True,Residential_Areas,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0213258406074483,0.0044698833991545,0.0051515990898774,0.0038705584608949,0.0158053175454061,non-violent_crime
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,2212,22.0,19.0,75.0,2022,41.694893332,-87.681254299,9,2,9,4,0,0,Morning,False,True,Commercial_Areas,0.8,13.2,15.0,10.8,40.3,27149,30.0,21186.0,6420.0,0.0131952271809581,0.0040588272969646,0.0018806839278487,0.0091765825832646,0.0079003991778276,non-violent_crime
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,False,False,231,2.0,3.0,40.0,2024,41.799826227,-87.62097242,8,3,1,1,0,0,Morning,False,True,Residential_Areas,5.6,42.1,28.6,25.4,42.8,13785,88.0,12707.0,8359.87,0.0097910583159548,0.0055324307314296,0.0048744815937336,0.0109160004750289,0.0077329491387566,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,True,True,312,3.0,20.0,42.0,2020,41.779518529,-87.604350384,5,0,6,3,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,2.9,30.7,23.4,16.5,36.1,18672,58.0,24425.0,11799.52,0.013162037599279,0.001158176534594,0.0038173918749459,0.0033796969779107,0.0028753042170786,non-violent_crime
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,913,9.0,11.0,60.0,2023,41.841640365,-87.654451611,8,4,10,4,0,0,Morning,True,False,Residential_Areas,4.5,18.9,13.7,22.2,31.3,22694,43.0,33702.0,16125.36,0.0090957301698062,0.0019667939824225,0.0036443585422539,0.0018240438564971,0.012026842376653,non-violent_crime
INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,True,False,621,6.0,17.0,71.0,2022,41.751766203,-87.64771078,18,1,8,3,0,0,Evening,True,False,Outdoor_And_Public_Spaces,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0035015411582155,0.0070982060903848,0.0036622473988313,0.0015027403772759,0.00845450848224,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,322,3.0,6.0,69.0,2021,41.767481959,-87.617866308,2,0,6,3,0,0,Early Morning,True,False,Residential_Areas,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0121639437672037,0.0031113908847415,0.0056583925133982,0.0007450568935069,0.0167120353305545,non-violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,223,2.0,4.0,38.0,2022,41.804055642,-87.607894092,18,4,12,1,0,0,Evening,True,False,Outdoor_And_Public_Spaces,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0227769523620879,0.0023007886338783,0.0029533717508401,0.010357732541692,0.0151127859607375,non-violent_crime
CRIMINAL TRESPASS,TO LAND,False,False,1412,14.0,35.0,22.0,2022,41.931574051,-87.711516699,7,5,3,2,1,0,Morning,False,True,Commercial_Areas,3.2,16.8,8.2,14.8,26.2,31908,23.0,71665.0,19962.4,0.0175344526278707,0.0020422637714113,0.0042351004570453,0.000717809229699,0.0104420193364836,non-violent_crime
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,1021,10.0,24.0,29.0,2022,41.859968372,-87.714017014,20,6,11,4,1,0,Night,False,True,Other_Unclassified,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.006522074199513,0.0022399362552287,0.0020561336149231,0.0015396614174086,0.005874774910211,non-violent_crime
ASSAULT,SIMPLE,False,False,513,5.0,9.0,49.0,2020,41.699108469,-87.612322788,0,5,8,3,1,0,Early Morning,False,True,Residential_Areas,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0100932563605931,0.0068937200730234,0.0016287260549229,0.0018056221080517,0.0042133024364309,violent_crime
ASSAULT,SIMPLE,False,False,1931,19.0,32.0,6.0,2019,41.933566453,-87.668435522,17,1,8,3,0,0,Evening,False,True,Commercial_Areas,1.1,11.4,4.7,2.6,17.0,60058,5.0,103050.0,33028.85,0.0218582860631834,0.0044520900506781,0.004620943968917,0.0232088358990657,0.007368954388023,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1412,14.0,35.0,21.0,2023,41.933874228,-87.709083441,23,3,7,3,0,0,Night,True,False,Outdoor_And_Public_Spaces,6.0,15.3,9.2,24.7,31.0,20039,42.0,36257.0,18311.62,0.0172739890654203,0.0053364466427099,0.001047144093517,0.0022494651580443,0.010593011987537,violent_crime
THEFT,RETAIL THEFT,False,False,832,8.0,18.0,66.0,2023,41.764151886,-87.683229302,16,6,3,2,1,0,Evening,False,True,Commercial_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0271808250965084,0.0104993421709747,0.0080543036661969,0.0023132445862766,0.0211622090620682,non-violent_crime
ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,True,False,1724,17.0,33.0,16.0,2022,41.953969311,-87.698920853,19,1,8,3,0,0,Night,False,True,Unknown,6.3,13.1,10.0,22.4,31.6,27249,34.0,51940.0,16180.69,0.0262919859488233,0.0015960295378295,0.005369538821736,0.0072095451686383,0.0168327282341516,violent_crime
THEFT,$500 AND UNDER,False,False,2422,24.0,49.0,1.0,2020,42.022521053,-87.671524702,9,4,7,3,0,0,Morning,False,True,Residential_Areas,7.7,23.6,8.7,18.2,27.5,23939,39.0,55628.0,30232.61,0.022758455435729,0.0021285931967228,0.0015218311445322,0.0393222946239935,0.0157997595903288,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,523,5.0,9.0,53.0,2018,41.662291002,-87.637795178,19,4,8,3,0,0,Night,False,True,Outdoor_And_Public_Spaces,3.3,25.9,19.4,20.5,42.1,16563,62.0,26104.0,7332.58,0.0423485353767717,0.008108707825358,0.0027909133845713,0.0046683572850054,0.0165140393547777,non-violent_crime
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,False,331,3.0,5.0,42.0,2021,41.780590713,-87.57663492,12,6,6,3,1,0,Noon,True,False,Outdoor_And_Public_Spaces,2.9,30.7,23.4,16.5,36.1,18672,58.0,24425.0,11799.52,0.0323738144622218,0.000708678498169,0.0101503608727486,0.0121891311347669,0.0221030095570827,violent_crime
PROSTITUTION,SOLICIT ON PUBLIC WAY,True,False,1131,11.0,24.0,26.0,2019,41.869583263,-87.737697134,20,1,1,1,0,0,Night,False,True,Outdoor_And_Public_Spaces,9.4,41.7,25.8,24.5,43.6,10934,92.0,17433.0,13619.53,0.0320274372945418,0.007120868836262,0.004332094921619,0.0012114290454874,0.0156411636274314,non-violent_crime
THEFT,RETAIL THEFT,False,False,1935,19.0,43.0,7.0,2022,41.930906002,-87.644017035,16,1,5,2,0,0,Evening,True,False,Commercial_Areas,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0181174486300856,0.0045675964362396,0.0025528122401745,0.017756969595941,0.0094423889876458,non-violent_crime
MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,False,False,621,6.0,17.0,71.0,2023,41.750542059,-87.64767983,14,1,8,3,0,0,Noon,True,False,Transportation_And_Vehicles,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0038016016735589,0.0076614433845904,0.0046835491317116,0.00252081662802,0.0093288395644096,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,2221,22.0,19.0,73.0,2023,41.721198652,-87.663761194,8,5,8,3,1,0,Morning,True,False,Commercial_Areas,1.1,16.9,20.8,13.7,42.6,19713,48.0,25065.0,8763.99,0.0301419644847271,0.0043459952338079,0.0018711536221719,0.0049154596029776,0.0083850206830485,violent_crime
THEFT,OVER $500,False,False,1633,16.0,36.0,17.0,2021,41.940176682,-87.784635219,20,4,4,2,0,0,Night,True,False,Outdoor_And_Public_Spaces,5.2,10.6,10.0,16.2,33.6,26282,28.0,43147.0,11598.66,0.0287833532268431,0.0111570628208978,0.0046722867926321,0.0143507990617082,0.0037882429040127,non-violent_crime
THEFT,OVER $500,False,False,1523,15.0,37.0,25.0,2022,41.88893074,-87.756614969,1,4,3,2,0,0,Early Morning,True,False,Residential_Areas,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0145768569305863,0.004402141149198,0.0054766630882424,0.0001520320711614,0.0092085814068968,non-violent_crime
ASSAULT,SIMPLE,False,True,1225,12.0,27.0,28.0,2021,41.877565108,-87.68479102,16,0,4,2,0,0,Evening,False,True,Residential_Areas,3.8,20.6,10.7,9.6,22.2,44689,15.0,67881.0,11929.88,0.021076840407737,0.0042120362074665,0.0015444989763228,0.0029140374980093,0.0065774147600151,violent_crime
WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,True,False,722,7.0,6.0,68.0,2019,41.768934071,-87.638495619,18,2,1,1,0,0,Evening,True,False,Outdoor_And_Public_Spaces,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0177487350241633,0.0033827565880535,0.0015941017227853,0.0012632358940439,0.0131384056354157,violent_crime
THEFT,$500 AND UNDER,False,False,2011,20.0,40.0,2.0,2020,41.985660508,-87.690735065,20,4,3,2,0,0,Night,False,True,Outdoor_And_Public_Spaces,7.8,17.2,8.8,20.8,38.5,23040,46.0,77122.0,21847.59,0.0064648321528162,0.0023490904682755,0.0098857626034184,0.0047851534376148,0.0059157234931838,non-violent_crime
ASSAULT,SIMPLE,False,False,711,7.0,16.0,68.0,2023,41.783449861,-87.640971514,19,3,1,1,0,0,Night,True,False,Outdoor_And_Public_Spaces,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.020278238446553,0.0023174547636057,0.0063395567852475,0.0016234813404349,0.0038561946485405,violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,True,834,8.0,18.0,70.0,2020,41.746896819,-87.71322138,12,1,5,2,0,0,Noon,False,True,Outdoor_And_Public_Spaces,4.0,10.4,11.7,17.7,36.9,23482,37.0,41098.0,8456.38,0.0323848767184822,0.0065929992649769,0.0045339762461548,0.0019973125627505,0.011439465352265,non-violent_crime
BURGLARY,FORCIBLE ENTRY,False,False,2523,25.0,30.0,21.0,2021,41.932468258,-87.725793116,10,0,10,4,0,0,Morning,False,True,Residential_Areas,6.0,15.3,9.2,24.7,31.0,20039,42.0,36257.0,18311.62,0.0305350761371884,0.0010066866035527,0.007041989854505,0.0037775287064795,0.0224275532409511,non-violent_crime
OTHER OFFENSE,TELEPHONE THREAT,False,False,513,5.0,34.0,49.0,2021,41.692576964,-87.623786349,15,4,4,2,0,0,Noon,True,False,Residential_Areas,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0192810347818356,0.0064247399986757,0.0049989839657897,0.0021426002110952,0.0059212976103531,non-violent_crime
THEFT,OVER $500,False,True,624,6.0,8.0,69.0,2022,41.756793365,-87.602243661,22,1,8,3,0,0,Night,True,False,Residential_Areas,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0102548183190735,0.0010760232613046,0.003069788377903,0.0011730839336306,0.0058635382923689,non-violent_crime
BURGLARY,FORCIBLE ENTRY,False,False,1121,11.0,27.0,23.0,2019,41.892265248,-87.714997943,10,2,8,3,0,0,Morning,False,True,Residential_Areas,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0209640039812197,0.0023179474901515,0.0039503811969498,0.0012981968002002,0.0089585412905181,non-violent_crime
BURGLARY,FORCIBLE ENTRY,False,False,511,5.0,9.0,49.0,2020,41.708476086,-87.6186711,9,5,2,1,1,0,Morning,False,True,Residential_Areas,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0211849502568195,0.0101607053695206,0.0023455745409345,0.0027053185113024,0.0071431179838911,non-violent_crime
BATTERY,SIMPLE,False,False,411,4.0,8.0,45.0,2019,41.751421712,-87.592226582,13,1,7,3,0,0,Noon,True,False,Unknown,1.4,17.2,21.1,10.6,39.3,24454,41.0,9458.0,7566.4,0.020201494573148,0.004324095537272,0.0032135794903321,0.0032495600170197,0.0079994387823485,violent_crime
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,2515,25.0,36.0,19.0,2021,41.920947896,-87.774397646,17,4,3,2,0,0,Evening,False,True,Residential_Areas,10.8,18.7,14.6,37.3,37.3,15461,70.0,78116.0,19978.52,0.0091279355459805,0.0026581396281943,0.0065071678201178,0.0037981596140068,0.0127136145477868,non-violent_crime
ASSAULT,SIMPLE,True,False,1834,18.0,42.0,8.0,2024,41.891990384,-87.611461502,20,6,7,3,1,0,Night,False,True,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0338172112784326,0.002100352193707,0.0195570935892928,0.020420578104422,0.0131216625819493,violent_crime
NARCOTICS,POSSESS - HEROIN (WHITE),True,False,1132,11.0,28.0,26.0,2021,41.875938196,-87.725506313,11,4,3,2,0,0,Morning,False,True,Outdoor_And_Public_Spaces,9.4,41.7,25.8,24.5,43.6,10934,92.0,17433.0,13619.53,0.0201563375567571,0.0052690953854055,0.0029603939836193,0.0011333223223853,0.0034073652167284,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,632,6.0,6.0,44.0,2018,41.741528316,-87.614662528,9,6,11,4,1,0,Morning,True,False,Residential_Areas,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0264501322752053,0.0017270909036004,0.0051120107613367,0.0065549321581226,0.0094945167032118,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,True,True,2222,22.0,21.0,73.0,2023,41.72582033,-87.653056698,16,3,11,4,0,0,Evening,False,True,Residential_Areas,1.1,16.9,20.8,13.7,42.6,19713,48.0,25065.0,8763.99,0.0277576753268925,0.0012568892786632,0.0045274273374161,0.0013211510127408,0.008106393749502,violent_crime
THEFT,$500 AND UNDER,False,False,1935,19.0,43.0,7.0,2022,41.928263767,-87.643178217,6,6,5,2,1,0,Early Morning,False,True,Residential_Areas,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0208725966621081,0.004945826046878,0.0035352413037305,0.0161015273552328,0.0122053668021873,non-violent_crime
THEFT,$500 AND UNDER,False,False,832,8.0,16.0,66.0,2023,41.771405533,-87.680890548,1,5,5,2,1,0,Early Morning,False,True,Outdoor_And_Public_Spaces,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0216288770769629,0.0049317397715385,0.0061351319753765,0.0010114452316058,0.014738348016128,non-violent_crime
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,1624,16.0,45.0,15.0,2020,41.955718067,-87.75354266,7,1,10,4,0,0,Morning,False,True,Residential_Areas,4.1,11.6,12.6,19.3,34.0,24336,35.0,63020.0,15954.43,0.0222846859155644,0.0016125781431773,0.0075751365463616,0.0211347093881928,0.014375545729115,non-violent_crime
THEFT,FROM BUILDING,False,False,2433,24.0,48.0,77.0,2024,41.993158164,-87.65831019,12,4,3,2,0,0,Noon,False,True,Residential_Areas,4.1,18.2,9.2,9.7,23.8,33385,19.0,56296.0,32354.02,0.0145944166813889,0.0035720175649621,0.0040008914396534,0.0165179539133874,0.0030631811750853,non-violent_crime
OTHER OFFENSE,HARASSMENT BY TELEPHONE,False,False,812,8.0,13.0,64.0,2022,41.781037867,-87.766726866,22,5,4,2,1,0,Night,False,True,Residential_Areas,2.7,8.9,9.5,18.8,37.6,25113,29.0,24473.0,9597.25,0.0578993727820585,0.0037620190114062,0.009699331594919,0.0011883359784658,0.016070580027329,non-violent_crime
NARCOTICS,POSSESS - HEROIN (WHITE),True,False,2531,25.0,29.0,25.0,2023,41.908041077,-87.765866033,2,6,11,4,1,0,Early Morning,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0105718340298553,0.0046009896586105,0.0018182612522026,0.0029590800468487,0.0034187262246702,non-violent_crime
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,1633,16.0,36.0,15.0,2021,41.947137521,-87.761876582,15,0,2,1,0,0,Noon,False,True,Residential_Areas,4.1,11.6,12.6,19.3,34.0,24336,35.0,63020.0,15954.43,0.0272933729965653,0.0033822613616468,0.0050013761748016,0.0177528456736594,0.010992438814724,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,1821,18.0,27.0,8.0,2023,41.906502967,-87.639232085,15,2,11,4,0,0,Noon,False,True,Outdoor_And_Public_Spaces,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0052546209927592,0.0034618365095574,0.0018610771108203,0.009424906420115,0.0036742258611634,non-violent_crime
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,123,1.0,4.0,32.0,2020,41.874249283,-87.629208475,12,3,6,3,0,0,Noon,True,False,Commercial_Areas,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0159843803267169,0.0010259383853163,0.0014633775510227,0.0054363568957359,0.002970085225715,non-violent_crime
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,1915,19.0,46.0,3.0,2022,41.956081305,-87.654591328,11,4,4,2,0,0,Morning,False,True,Residential_Areas,3.8,24.0,8.9,11.8,22.2,35787,20.0,57182.0,24647.41,0.0092108201411644,0.0030873326307818,0.0048579557932578,0.0293895273107947,0.0022679780502821,non-violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,1215,12.0,1.0,24.0,2022,41.893487029,-87.658097248,19,0,7,3,0,0,Night,True,False,Outdoor_And_Public_Spaces,2.3,14.7,6.6,12.9,21.7,43198,10.0,87781.0,19166.16,0.0176796730961088,0.0038955483234579,0.001272604912912,0.0132510466671795,0.0103950441076051,non-violent_crime
